"parameter","estimate","se","t_value","pval"
"(Intercept)",-2.3443,0.1984,-11.814,0
"GP4",0.6888,0.202,3.4103,0.000683
"GP5",0.6414,0.2209,2.9037,0.003793
"GP6",0.7631,0.2279,3.3481,0.000853
"GP7",0.8965,0.2799,3.2034,0.001414
"GP8",0.9181,0.3207,2.8634,0.004305
"cohortC2",0.0654,0.173,0.3781,0.705472
"hispanic",0.349,0.152,2.2951,0.021993
"asian",-0.2442,0.231,-1.0572,0.290746
"sex_min",0.2003,0.1479,1.3546,0.175927
