"parameter","estimate","se","z","pval","OR"
"(Intercept)",-3.429,0.1076,-31.8717,0,0.0324
"exposure",0.942,0.1814,5.1932,0,2.5652
"GP4",0.8731,0.1133,7.7092,0,2.3944
"GP5",0.1161,0.1314,0.883,0.377234,1.1231
"GP6",-0.5247,0.1573,-3.3348,0.000854,0.5917
"GP7",-0.9986,0.1854,-5.386,0,0.3684
"hispanic",0.0655,0.0908,0.7216,0.470569,1.0677
"asian",-0.6132,0.1182,-5.1859,0,0.5416
"sex_min",0.2946,0.0923,3.1908,0.001419,1.3426
