"parameter","estimate","se","t_value","pval"
"(Intercept)",-2.4617,0.1987,-12.3886,0
"GP4",0.258,0.2425,1.0639,0.287684
"GP5",1.1764,0.1891,6.2193,0
"GP6",1.0158,0.2241,4.5336,7e-06
"GP7",1.1229,0.2834,3.9621,8e-05
"GP8",1.3393,0.3091,4.333,1.6e-05
"cohortC2",0.5354,0.1692,3.164,0.001611
"hispanic",0.285,0.1397,2.0395,0.041701
"asian",-0.4463,0.2204,-2.0253,0.043142
"sex_min",0.0374,0.1382,0.2706,0.78679
