"school","cohort","sch_type","n_students","n_adopters","final_prev"
101,"C1-early","Other",278,54,19.4
102,"C1-early","Hispanic-majority",252,41,16.3
103,"C1-early","Asian-majority",198,26,13.1
104,"C1-early","Other",384,100,26
105,"C1-early","Asian-majority",205,38,18.5
106,"C1-late","Hispanic-majority",218,52,23.9
107,"C1-late","Hispanic-majority",262,79,30.2
112,"C1-late","Asian-majority",333,77,23.1
113,"C1-late","Asian-majority",371,61,16.4
114,"C1-late","Hispanic-majority",362,129,35.6
201,"C2","Other",216,34,15.7
212,"C2","Other",328,51,15.5
213,"C2","Other",375,45,12
214,"C2","Other",330,96,29.1
