"parameter","estimate","se","z","pval","OR"
"(Intercept)",-4.8801,0.1803,-27.062,0,0.0076
"exposure",1.2164,0.1715,7.0919,0,3.375
"GP2",1.7952,0.1959,9.1659,0,6.0209
"GP3",1.3,0.2047,6.3518,0,3.6692
"GP4",2.2176,0.1917,11.5667,0,9.1852
"GP5",1.444,0.2035,7.0958,0,4.2377
"GP6",0.8046,0.2211,3.6386,0.000274,2.2358
"GP7",0.3682,0.2413,1.5259,0.127041,1.4451
