"id","toa","threshold","infectiousness","susceptibility","school","cohort","sch_type"
"101.101_101200",NA,NA,NA,NA,NA,NA,NA
"101.101_101201",NA,NA,NA,NA,NA,NA,NA
"101.101_101203",NA,NA,NA,NA,NA,NA,NA
"101.101_101204",NA,NA,NA,NA,NA,NA,NA
"101.101_101205",NA,NA,NA,NA,NA,NA,NA
"101.101_101206",NA,NA,NA,NA,NA,NA,NA
"101.101_101208",NA,NA,NA,NA,NA,NA,NA
"101.101_101209",NA,NA,NA,NA,NA,NA,NA
"101.101_101211",NA,NA,NA,NA,NA,NA,NA
"101.101_101212",NA,NA,NA,NA,NA,NA,NA
"101.101_101213",NA,NA,NA,NA,NA,NA,NA
"101.101_101214",NA,NA,NA,NA,NA,NA,NA
"101.101_101215",NA,NA,NA,NA,NA,NA,NA
"101.101_101222",2,0,0,0,NA,NA,NA
"101.101_101223",NA,NA,NA,NA,NA,NA,NA
"101.101_101226",NA,NA,NA,NA,NA,NA,NA
"101.101_101230",NA,NA,NA,NA,NA,NA,NA
"101.101_101233",NA,NA,NA,NA,NA,NA,NA
"101.101_101235",NA,NA,NA,NA,NA,NA,NA
"101.101_101238",NA,NA,NA,NA,NA,NA,NA
"101.101_101245",NA,NA,NA,NA,NA,NA,NA
"101.101_101247",NA,NA,NA,NA,NA,NA,NA
"101.101_101251",NA,NA,NA,NA,NA,NA,NA
"101.101_101252",NA,NA,NA,NA,NA,NA,NA
"101.101_101254",NA,NA,NA,NA,NA,NA,NA
"101.101_101256",1,0,0,0,NA,NA,NA
"101.101_101258",NA,NA,NA,NA,NA,NA,NA
"101.101_101260",NA,NA,NA,NA,NA,NA,NA
"101.101_101261",NA,NA,NA,NA,NA,NA,NA
"101.101_101264",NA,NA,NA,NA,NA,NA,NA
"101.101_101265",NA,NA,NA,NA,NA,NA,NA
"101.101_101266",NA,NA,NA,NA,NA,NA,NA
"101.101_101267",NA,NA,NA,NA,NA,NA,NA
"101.101_101272",NA,NA,NA,NA,NA,NA,NA
"101.101_101276",NA,NA,NA,NA,NA,NA,NA
"101.101_101277",NA,NA,NA,NA,NA,NA,NA
"101.101_101278",NA,NA,NA,NA,NA,NA,NA
"101.101_101282",NA,NA,NA,NA,NA,NA,NA
"101.101_101285",NA,NA,NA,NA,NA,NA,NA
"101.101_101287",NA,NA,NA,NA,NA,NA,NA
"101.101_101289",2,0,0,0,NA,NA,NA
"101.101_101292",NA,NA,NA,NA,NA,NA,NA
"101.101_101293",NA,NA,NA,NA,NA,NA,NA
"101.101_101296",NA,NA,NA,NA,NA,NA,NA
"101.101_101298",NA,NA,NA,NA,NA,NA,NA
"101.101_101299",NA,NA,NA,NA,NA,NA,NA
"101.101_101300",NA,NA,NA,NA,NA,NA,NA
"101.101_101302",NA,NA,NA,NA,NA,NA,NA
"101.101_101303",NA,NA,NA,NA,NA,NA,NA
"101.101_101305",NA,NA,NA,NA,NA,NA,NA
"101.101_101306",NA,NA,NA,NA,NA,NA,NA
"101.101_101310",NA,NA,NA,NA,NA,NA,NA
"101.101_101313",6,0,0,0,NA,NA,NA
"101.101_101315",NA,NA,NA,NA,NA,NA,NA
"101.101_101316",NA,NA,NA,NA,NA,NA,NA
"101.101_101317",NA,NA,NA,NA,NA,NA,NA
"101.101_101318",NA,NA,NA,NA,NA,NA,NA
"101.101_101322",6,0,0,0,NA,NA,NA
"101.101_101328",NA,NA,NA,NA,NA,NA,NA
"101.101_101334",NA,NA,NA,NA,NA,NA,NA
"101.101_101335",4,0,0,0,NA,NA,NA
"101.101_101336",2,0,0,0,NA,NA,NA
"101.101_101337",NA,NA,NA,NA,NA,NA,NA
"101.101_101340",NA,NA,NA,NA,NA,NA,NA
"101.101_101342",NA,NA,NA,NA,NA,NA,NA
"101.101_101344",NA,NA,NA,NA,NA,NA,NA
"101.101_101348",NA,NA,NA,NA,NA,NA,NA
"101.101_101350",6,0,0.0153846153846154,0,NA,NA,NA
"101.101_101355",NA,NA,NA,NA,NA,NA,NA
"101.101_101359",NA,NA,NA,NA,NA,NA,NA
"101.101_101361",NA,NA,NA,NA,NA,NA,NA
"101.101_101362",NA,NA,NA,NA,NA,NA,NA
"101.101_101365",4,0,0,0,NA,NA,NA
"101.101_101367",NA,NA,NA,NA,NA,NA,NA
"101.101_101372",NA,NA,NA,NA,NA,NA,NA
"101.101_101381",NA,NA,NA,NA,NA,NA,NA
"101.101_101394",8,0,0,0,NA,NA,NA
"101.101_101397",4,0.25,0,0,NA,NA,NA
"101.101_101400",NA,NA,NA,NA,NA,NA,NA
"101.101_101401",NA,NA,NA,NA,NA,NA,NA
"101.101_101403",5,0,0,0,NA,NA,NA
"101.101_101405",NA,NA,NA,NA,NA,NA,NA
"101.101_101406",NA,NA,NA,NA,NA,NA,NA
"101.101_101410",NA,NA,NA,NA,NA,NA,NA
"101.101_101411",NA,NA,NA,NA,NA,NA,NA
"101.101_101412",NA,NA,NA,NA,NA,NA,NA
"101.101_101414",NA,NA,NA,NA,NA,NA,NA
"101.101_101415",7,0,0,0,NA,NA,NA
"101.101_101424",NA,NA,NA,NA,NA,NA,NA
"101.101_101425",7,0.2,0,0,NA,NA,NA
"101.101_101426",NA,NA,NA,NA,NA,NA,NA
"101.101_101427",NA,NA,NA,NA,NA,NA,NA
"101.101_101432",NA,NA,NA,NA,NA,NA,NA
"101.101_101435",NA,NA,NA,NA,NA,NA,NA
"101.101_101436",NA,NA,NA,NA,NA,NA,NA
"101.101_101439",NA,NA,NA,NA,NA,NA,NA
"101.101_101442",NA,NA,NA,NA,NA,NA,NA
"101.101_101446",NA,NA,NA,NA,NA,NA,NA
"101.101_101449",NA,NA,NA,NA,NA,NA,NA
"101.101_101450",1,0,0,0,NA,NA,NA
"101.101_101454",NA,NA,NA,NA,NA,NA,NA
"101.101_101457",NA,NA,NA,NA,NA,NA,NA
"101.101_101460",NA,NA,NA,NA,NA,NA,NA
"101.101_101461",NA,NA,NA,NA,NA,NA,NA
"101.101_101462",NA,NA,NA,NA,NA,NA,NA
"101.101_101468",NA,NA,NA,NA,NA,NA,NA
"101.101_101470",5,0,0,0,NA,NA,NA
"101.101_101471",6,0,0,0,NA,NA,NA
"101.101_101473",3,0,0,0,NA,NA,NA
"101.101_101474",NA,NA,NA,NA,NA,NA,NA
"101.101_101475",NA,NA,NA,NA,NA,NA,NA
"101.101_101476",NA,NA,NA,NA,NA,NA,NA
"101.101_101477",NA,NA,NA,NA,NA,NA,NA
"101.101_101478",NA,NA,NA,NA,NA,NA,NA
"101.101_101480",NA,NA,NA,NA,NA,NA,NA
"101.101_101483",NA,NA,NA,NA,NA,NA,NA
"101.101_101493",1,0,0,0,NA,NA,NA
