"model","n","parameter","estimate","se","OR","p","separated"
"C_firth_full",406,"factor(school_c1fe)103",0.1498,0.8266,1.1616,0.85623,FALSE
"C_firth_full",406,"factor(school_c1fe)104",1.0182,0.4907,2.7683,0.03797,FALSE
"C_firth_full",406,"factor(school_c1fe)105",-1.033,1.5283,0.356,0.49912,FALSE
"C_firth_full",406,"factor(school_c1fe)106",0.664,0.627,1.9426,0.28955,FALSE
"C_firth_full",406,"factor(school_c1fe)107",0.8258,0.5116,2.2837,0.10649,FALSE
"C_firth_full",406,"factor(school_c1fe)112",0.775,0.4906,2.1706,0.11416,FALSE
"C_firth_full",406,"factor(school_c1fe)113",0.8197,0.4939,2.2698,0.09697,FALSE
"C_firth_full",406,"factor(school_c1fe)114",1.2064,0.4773,3.3413,0.01149,FALSE
"C_firth_full",406,"gad",-0.0298,0.1858,0.9706,0.87258,FALSE
"C_firth_full",406,"mdd",-0.2043,0.1946,0.8152,0.29385,FALSE
"C_firth_full",406,"friends_ecig",0.1819,0.0497,1.1995,0.00025,FALSE
"C_firth_full",406,"sex_min",-0.1149,0.1904,0.8915,0.54616,FALSE
